,call_price,call_antithetic,std,std_antithetic,black_scholes_call
Num Sims,,,,,
100,4.317129382936728,2.998947612439615,8.212229608979408,5.688993283003433,3.3468747174046953
200,3.4132516244130215,2.42554469388451,6.830984206425816,5.697916284846483,3.3468747174046953
300,3.478445858744594,3.851461999161104,6.884972639225147,6.930245568218887,3.3468747174046953
400,3.4853554461841143,2.716127637996318,6.84908995956472,6.016404973455492,3.3468747174046953
500,3.248262456711285,3.3811788428721035,6.505240694828392,6.711126390313439,3.3468747174046953
600,3.4781411207035466,3.229171711329079,6.639079600719436,5.940000159463105,3.3468747174046953
700,3.0479727255423734,3.235592115514634,6.2859971285436815,6.836801051810761,3.3468747174046953
800,3.0686094895228564,3.4230467903422683,6.43508322182753,6.517379654807359,3.3468747174046953
900,3.113708802444346,3.2871084046413745,6.393430846179315,6.58679003987728,3.3468747174046953
1000,3.8249462443645603,3.804373933336513,7.626790334682346,7.166090924576456,3.3468747174046953
1100,3.2763232269492404,3.5557852803086343,6.657348126695668,6.936663090294097,3.3468747174046953
1200,3.173861701793082,3.2373609807467396,6.399517900513126,6.511044422799459,3.3468747174046953
1300,3.3421853000675665,3.4058800222943533,6.7921544381669,6.69741501559107,3.3468747174046953
1400,3.010392099978844,3.2346475150045513,5.928299495181759,6.2708828441949285,3.3468747174046953
1500,3.675010956931427,3.4638142794207254,7.282716068804719,6.731503231533568,3.3468747174046953
1600,3.2687694404303262,3.4361488525216113,6.795921595307119,6.815913332553783,3.3468747174046953
1700,3.2582021409259583,3.355615332009657,6.385052886517236,6.582472940395405,3.3468747174046953
1800,3.2361822809046608,3.5430610623643783,6.389785950595355,6.823470646439309,3.3468747174046953
1900,3.3338712932998993,3.198257991359376,6.507978997889886,6.432517994122764,3.3468747174046953
2000,3.130493825655499,3.3404944763651594,6.221896642673469,6.496604579547425,3.3468747174046953
2100,3.2691132618646783,3.5556070648486067,6.839185127683148,7.14084264916067,3.3468747174046953
2200,3.37153825346398,3.291004046693058,6.604122847899045,6.634601552193694,3.3468747174046953
2300,3.2886709467909245,3.2624257985481533,6.497506388942879,6.8040302817109595,3.3468747174046953
2400,3.359705423869514,3.288881978357768,6.649404143299448,6.568519034347155,3.3468747174046953
2500,3.1879879231258412,3.230406381627437,6.500877294792008,6.561535502387626,3.3468747174046953
2600,3.454540654860287,3.297905056984386,6.708806729088188,6.707293425740463,3.3468747174046953
2700,3.424300540422589,3.2825354495282357,6.776559635651928,6.681863976861447,3.3468747174046953
2800,3.2885966397736905,3.426451417710181,6.61196895041353,6.7375954674044625,3.3468747174046953
2900,3.2561844093543604,3.26593350052388,6.446112601366032,6.788812135083267,3.3468747174046953
3000,3.338273261292025,3.148352895446331,6.81420170365294,6.303521434648746,3.3468747174046953
3100,3.456675438790195,3.568571743930888,6.805544408840942,7.007288234926456,3.3468747174046953
3200,3.359542347422092,3.308912837687907,6.6288026058536,6.69203693741206,3.3468747174046953
3300,3.3067757150390213,3.4360604353895545,6.508224432835852,6.730623581209871,3.3468747174046953
3400,3.335925331630632,3.378326323476977,6.742441347404164,6.564590901040524,3.3468747174046953
3500,3.435563547684932,3.3368202347838434,6.7756635400412994,6.601731393475253,3.3468747174046953
3600,3.292154751135566,3.2213274411120776,6.578667366553074,6.56478403564684,3.3468747174046953
3700,3.2536267682241315,3.3064606580397626,6.50301828211369,6.536317651428452,3.3468747174046953
3800,3.2579866313497865,3.263540262581255,6.46482061305464,6.484363118948491,3.3468747174046953
3900,3.400022205867808,3.496308187202529,6.789353566593276,7.0230596334512025,3.3468747174046953
4000,3.5010737180376763,3.1932108681886877,7.055068679392124,6.610644572000273,3.3468747174046953
4100,3.285731853867486,3.518460126013317,6.560202508586365,6.849185316351226,3.3468747174046953
4200,3.278883145020789,3.2344441343676267,6.7318771046064665,6.335102694530136,3.3468747174046953
4300,3.3673167758309797,3.440667911435829,6.614562392026323,6.665837925284758,3.3468747174046953
4400,3.130506908900188,3.4713933539829647,6.455505177937891,6.844382056695592,3.3468747174046953
4500,3.2299697973405332,3.3063089938316583,6.435328072440382,6.439235370321056,3.3468747174046953
4600,3.2899707924953514,3.32713502589396,6.679897843142184,6.587434765398269,3.3468747174046953
4700,3.238082428179668,3.3085102430714857,6.54698046257696,6.568828653890413,3.3468747174046953
4800,3.257043386327816,3.3991618923079665,6.524490363204126,6.702683038841697,3.3468747174046953
4900,3.5313523540113265,3.427587162869729,6.847793819425384,6.749548747910361,3.3468747174046953
5000,3.3244211594413864,3.435734195947183,6.608137451008674,6.753845170537529,3.3468747174046953
5100,3.2075459709806524,3.325467172801693,6.61819758560294,6.6822519200254185,3.3468747174046953
5200,3.3586465170992468,3.2621701872112947,6.608271674238133,6.52487735139297,3.3468747174046953
5300,3.3855058881829416,3.450446106437701,6.785371635711302,6.823476535622331,3.3468747174046953
5400,3.4133916307559447,3.2870883207431723,6.649238733530652,6.63738325388895,3.3468747174046953
5500,3.379855353261463,3.21765064477594,6.73418963135155,6.363455468309614,3.3468747174046953
5600,3.3620535356494026,3.322543688125465,6.667685743652267,6.511941408424418,3.3468747174046953
5700,3.235423568231638,3.338876271718062,6.429106211900364,6.7746127765073965,3.3468747174046953
5800,3.2600233033196457,3.25974138329063,6.622528567549586,6.563100547409904,3.3468747174046953
5900,3.370706098612507,3.5049516471674402,6.725556224642138,6.912163575622248,3.3468747174046953
6000,3.244427678919158,3.4423037635119247,6.600959327174232,6.7139078346389836,3.3468747174046953
6100,3.3596909854218495,3.2719579334351763,6.613365465972988,6.6073650301074665,3.3468747174046953
6200,3.3628392095314754,3.366921214883588,6.688851000765329,6.62341722737553,3.3468747174046953
6300,3.3548722973586713,3.3310991541414072,6.619285455851168,6.591592536831977,3.3468747174046953
6400,3.2690160989987045,3.4714051980995526,6.589709161871796,6.888786568876522,3.3468747174046953
6500,3.2338344371025007,3.359976392972918,6.49512460778751,6.710674410220091,3.3468747174046953
6600,3.4988832163182066,3.340847813360343,6.754952834573113,6.690832138569113,3.3468747174046953
6700,3.3787643987737397,3.3739093781730127,6.724817254739443,6.603895199548336,3.3468747174046953
6800,3.3333885823667218,3.3823304393466396,6.681499810779422,6.7891196396311235,3.3468747174046953
6900,3.3517747973797762,3.3258264348848634,6.667497346611605,6.746016213126145,3.3468747174046953
7000,3.3188391737916842,3.4219920621338296,6.552350574817666,6.854512567824083,3.3468747174046953
7100,3.3611205140489178,3.31966803468443,6.731025719651035,6.679306105885637,3.3468747174046953
7200,3.3411572197458472,3.2814030922421855,6.645507278682401,6.58142570993109,3.3468747174046953
7300,3.3677071512999497,3.2652052401926355,6.6699365177421495,6.645600775244711,3.3468747174046953
7400,3.2540433510223377,3.3656998653670747,6.593536552882918,6.679487909026746,3.3468747174046953
7500,3.371101190520134,3.318409024757889,6.7342331237694335,6.614857547179686,3.3468747174046953
7600,3.3331844377068753,3.3023249850909573,6.715164683563843,6.553564023541938,3.3468747174046953
7700,3.3275325693665048,3.3811582766779695,6.688853058922243,6.749765384287632,3.3468747174046953
7800,3.35781394206,3.4239716184860245,6.7786490383161,6.736940275209413,3.3468747174046953
7900,3.409179935541571,3.41601705100514,6.804083075676875,6.747517487137566,3.3468747174046953
8000,3.443872085443995,3.339936807456038,6.785102162084365,6.499361655747529,3.3468747174046953
8100,3.3876804183609335,3.241213016044142,6.769252361096568,6.534890596629438,3.3468747174046953
8200,3.4445708057683886,3.384522647953625,6.680407349166205,6.790368064431145,3.3468747174046953
8300,3.2895170871212422,3.3531288500501235,6.462640711688953,6.696444738059875,3.3468747174046953
8400,3.3171894803777118,3.3407652608782565,6.6436030619778235,6.632629374282168,3.3468747174046953
8500,3.272533372463292,3.291067108810623,6.569533862619723,6.661952004596934,3.3468747174046953
8600,3.4234565661243077,3.356058542522197,6.690238935300258,6.7122114822021715,3.3468747174046953
8700,3.4581831191618457,3.2729784502113892,6.768140999780385,6.5860189161584515,3.3468747174046953
8800,3.3542553193544626,3.4523182984275347,6.718068711166448,6.746754228051077,3.3468747174046953
8900,3.28858236599821,3.31349457782096,6.647615677849007,6.480409782946108,3.3468747174046953
9000,3.436553525632168,3.2790367202673223,6.82212351614932,6.59778388665493,3.3468747174046953
9100,3.2554038462541675,3.321186004895186,6.588634607772794,6.643175998958344,3.3468747174046953
9200,3.2799897542870866,3.3119811022332235,6.567889829716801,6.783044119964189,3.3468747174046953
9300,3.4161341015687197,3.324778309586194,6.666445997429014,6.6196500112380985,3.3468747174046953
9400,3.393380395587758,3.2716533734411692,6.707194443168399,6.672067953100623,3.3468747174046953
9500,3.2943564097556863,3.2817012078438723,6.602644749766935,6.557593499208822,3.3468747174046953
9600,3.291199997419312,3.2957696366453773,6.6025608794486566,6.779638529908529,3.3468747174046953
9700,3.2809493415351163,3.2913539438207624,6.554773931850729,6.675217615994109,3.3468747174046953
9800,3.4056426454080166,3.3467292635600465,6.682968091676875,6.567985980927204,3.3468747174046953
9900,3.252978512469809,3.3540872299157187,6.572382880333051,6.7087775930431235,3.3468747174046953
